Nombre,Apellido,Especialidad,Dirección,Ciudad
Juan,Pérez,Cardiología,Av. Providencia 123, Santiago
María,González,Dermatología,Calle Las Rosas 456, Valparaíso
Luis,Rodríguez,Pediatría,Alameda 789, Concepción
Ana,López,Neurología,Av. Libertador 101, Santiago
Carlos,Martínez,Oftalmología,Calle Maipú 202, La Serena
Sofía,Torres,Ginecología,Av. Vicuña Mackenna 303, Temuco
Pedro,Muñoz,Psiquiatría,Calle Colón 404, Iquique
Marta,Rivas,Odontología,Av. Santa María 505, Antofagasta
Javier,Sánchez,Medicina General,Calle Rancagua 606, Talca
Claudia,Ramírez,Traumatología,Av. Independencia 707, Punta Arenas
Ricardo,Fuentes,Cardiología,Calle O'Higgins 808, Rancagua
Isabel,Morales,Endocrinología,Av. Pedro de Valdivia 909, Santiago
Fernando,Bravo,Oncología,Calle General Velásquez 1010, Valdivia
Paola,Soto,Reumatología,Av. Matta 1111, Talca
Rodrigo,Vargas,Neurocirugía,Calle Balmaceda 1212, Iquique
Carolina,Navarro,Geriatría,Av. Irarrázaval 1313, Santiago
Francisco,Figueroa,Nefrología,Calle Esmeralda 1414, Viña del Mar
Camila,Lagos,Neumología,Av. La Paz 1515, Arica
Gonzalo,Mendoza,Gastroenterología,Calle Brasil 1616, Chillán
Patricia,Ortiz,Alergología,Av. San Martín 1717, Copiapó
Ignacio,Rivera,Endocrinología,Av. Kennedy 1818, Santiago
Natalia,Contreras,Traumatología,Calle Colón 1919, La Serena
Raúl,Fernández,Inmunología,Av. Independencia 2020, Iquique
Verónica,Gómez,Psiquiatría,Calle Rengo 2121, Valparaíso
Diego,Araya,Ginecología,Av. Alameda 2222, Talca
Florencia,Bustamante,Cardiología,Av. Matta 2323, Concepción
Matías,Venegas,Neurocirugía,Av. Providencia 2424, Santiago
Felipe,Reyes,Dermatología,Calle Esmeralda 2525, Arica
Julieta,Herrera,Pediatría,Calle Brasil 2626, Viña del Mar
Germán,Fuentes,Oncología,Av. O’Higgins 2727, Temuco
Daniela,Escobar,Odontología,Calle San Martín 2828, Antofagasta
Leonardo,Suárez,Alergología,Av. Colón 2929, Copiapó
Antonia,Vargas,Neurología,Av. Libertador 3030, Valdivia
Esteban,Castro,Geriatría,Calle Maipú 3131, Punta Arenas
Cecilia,Figueroa,Endocrinología,Calle Balmaceda 3232, Talca
Joaquín,Palma,Reumatología,Av. Vicuña Mackenna 3333, Concepción
Susana,Torres,Medicina General,Av. Santa María 3434, Iquique
Cristóbal,Mora,Nefrología,Calle Las Rosas 3535, Santiago
Pablo,Moreno,Gastroenterología,Calle Matta 3636, Chillán
Lucía,Flores,Psiquiatría,Av. Rancagua 3737, Valparaíso
Gonzalo,Vera,Traumatología,Av. Irarrázaval 3838, Temuco
Fernanda,Rojas,Dermatología,Calle O’Higgins 3939, Arica
Patricio,Salazar,Ginecología,Av. San Martín 4040, Viña del Mar
Lorena,González,Cardiología,Av. Providencia 4141, Concepción
Alonso,Navarro,Neumología,Calle Brasil 4242, Talca
Gabriela,Sánchez,Oncología,Av. Libertador 4343, Santiago
Víctor,Pizarro,Alergología,Av. Esmeralda 4444, Valdivia
Francisca,Arancibia,Geriatría,Calle Colón 4545, Punta Arenas
